event_id,accessibility_notes,approval_status,created_by_volunteer_host,modified_date,event_campaign,instructions,timezone,virtual_action_url,featured_image_url,browser_url,tags,title,event_type,summary,address_visibility,high_priority,created_date,accessibility_status,visibility,timeslots,is_virtual,description
233660,,APPROVED,False,1601663026.0,,"Thanks for signing up to text with us! All you need to bring is your laptop, we'll provide the rest!

Every Tuesday until Election Day we will gather from 5:30-7:30pm at our Milwaukee Headquarters to text Milwaukee voters, making sure they head to the polls on April 7th with the information they need.

Questions? Contact Aaron Shapiro at ashapiro@workingfamilies.org.",America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222625640630.jpeg,https://www.mobilize.us/workingfamilies/event/233660/,,Texting Tuesdays: February 18th!,TEXT_BANK,Texting Tuesdays are back!,PUBLIC,,1581610920.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot.  City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself every Tuesday from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
242090,,APPROVED,False,1601663036.0,,,America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/Screen%20Shot%202020-02-21%20at%2010.13.04%20AM_20200221161300240163.png,https://www.mobilize.us/workingfamilies/event/242090/,,Texting Tuesdays + WI WFP Debate Party!,TEXT_BANK,"Texting Tuesdays, then Debate Watch Party with the Party!",PUBLIC,,1582138363.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This upcoming Tuesday going to party even harder as Texting Tuesday falls on South Carolina Democratic Debate day. We'll start at the usual 5:30 PM, but at 7:00 we'll gather around the WFP fireplace to watch the debate.

No matter which candidate you support, we know as progressives, we need to come together, to not just defeat Trump, but the forces that put him in power. So this upcoming Tuesday, let's come together, have some fun, fight for the children of Milwaukee and then have slice and beer and unite!"
251748,,APPROVED,False,1601666297.0,,"Thanks for signing up to text with us! All you need to bring is your laptop, we'll provide the rest!

We will gather from 5:30-7:30pm at our Milwaukee Headquarters to text Milwaukee voters, making sure they head to the polls on April 7th with the information they need.

Questions? Contact Aaron Shapiro at ashapiro@workingfamilies.org.",America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222625640630.jpeg,https://www.mobilize.us/workingfamilies/event/251748/,,Texting MONDAY  March 2nd,TEXT_BANK,Texting Monday is here!,PUBLIC,,1582739108.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot.  City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself this Monday from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
254920,,APPROVED,False,1601664430.0,,"## Thank you for registering! Here are your next steps:

1. Sign up for the WFP Text Team Slack [here](https://www.wfp4themany.org/get-started) (this is how we communicate with the thousands of texting volunteers nationwide like you!)
2.  Create your account in [Spoke](https://spoke.workingfamilies.org/10536106-5da3-439b-894a-83e3bd60a1de/join), our peer-to-peer texting app!
3.  Get oriented and prepared to text by taking our 5 minute training [here](https://www.wfp4themany.org/texter-start) and request your first assignment in the team Slack channel

**Have questions about any of this? No worries!** Just complete step 1 above and you'll also have a guide there to help you along. We have a whole helpdesk ready to answer your questions as you get started and moderators that answer your voter contact questions along the way!",America/New_York,https://www.wfp4themany.org/text,https://mobilizeamerica.imgix.net/uploads/event/0dc414bf_20200229132841250043.jpg,https://www.mobilize.us/workingfamilies/event/254920/,,Text Out the Vote for Morgan Harper with the Working Families Party,TEXT_BANK,Share information about Morgan's values and vision and motivate voters in OH3 by texting with us from wherever you are!,PUBLIC,,1582982927.0,,PUBLIC,,True,"### The Working Families Party in Columbus Ohio has endorsed Morgan Harper for Congress!

> “She’s representing the same wave of leadership we saw take the House in 2018 and do it unapologetically,” said Nelini Stamp, national strategy director for the Working Families Party. “She’s representing the next generation of people that are the wave of leadership that brought you the Squad, the next generation of youth leaders that are being unapologetic about the issues.”

[read more about this endorsement here](https://prospect.org/politics/progressive-challenger-in-ohio-earns-working-families-party-endorsement/)

Morgan spent the first nine months of her life in a foster home until she was adopted by a public school teacher and raised on the east side of Columbus, Ohio. She received financial aid to attend a college prep school, which opened her eyes to the economic segregation at play in central Ohio. She went on to earn a B.A. from Tufts University, an M.P.A from Princeton University, and a J.D. from Stanford University. After which, Morgan served as a Senior Adviser to the first Director of the Consumer Financial Protection Bureau and most recently, she served as a VP at the Local Initiatives Support Corporation, the nation's largest community development organization. Morgan is currently running to represent Ohio's 3rd district in US Congress and is a strong believer in policies that support financial stability, racial justice, stable housing, and a clean environment. 

If you're ready to help bring change to Congress and OH-3, then join in the effort to text voters, learn more about what issues matter to them and their families, and make sure we get out the word about progressive champion, Morgan Harper!"
257267,,APPROVED,False,1601662514.0,,"Thanks for signing up to text with us! All you need to bring is your laptop or tablet, we'll provide the rest!

We will gather from 5:30-7:30pm at our Milwaukee Headquarters to text Milwaukee voters, making sure they head to the polls on April 7th with the information they need.

Questions? Contact Aaron Shapiro at ashapiro@workingfamilies.org or Priscilla Bort at pbort@workingfamilies.org.",America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222625640630.jpeg,https://www.mobilize.us/workingfamilies/event/257267/,,Texting MONDAY: March 9th!,TEXT_BANK,Texting Monday is here!,PUBLIC,,1583245791.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot.  City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself this MONDAY from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
258094,,APPROVED,False,1601666135.0,,"## Thank you for registering! Here are your next steps:

1. Sign up for the WFP Text Team Slack [here](https://www.wfp4themany.org/get-started) (this is how we communicate with the thousands of texting volunteers nationwide like you!)
2.  Create your account in [Spoke](https://spoke.workingfamilies.org/10536106-5da3-439b-894a-83e3bd60a1de/join), our peer-to-peer texting app!
3.  Get oriented and prepared to text by taking our 5 minute training [here](https://www.wfp4themany.org/texter-start) and request your first assignment in the team Slack channel

**Have questions about any of this? No worries!** Just complete step 1 above and you'll also have a guide there to help you along. We have a whole helpdesk ready to answer your questions as you get started and moderators that answer your voter contact questions along the way!",America/New_York,https://www.wfp4themany.org/texter-start,https://mobilizeamerica.imgix.net/uploads/event/texting-image%20Janeese%20Lewis%20George_20200304210058127199.png,https://www.mobilize.us/workingfamilies/event/258094/,,Text Out the Vote! Janeese Lewis George for DC!,TEXT_BANK,Reach voters in Washington DC Ward 4 for a progressive candidate for Council!,PUBLIC,,1583355605.0,,PUBLIC,,True,"### The Working Families Party has endorsed Janeese Lewis George for DC Council, Ward 4!

>  Janeese Lewis George is someone who has been a life-long, progressive who we know will fight to shift the balance of power back to working people. Her candidacy is not only about who has the best policy solutions to the challenges we face, it is also about how we will solve them. As a Fair Elections candidate, her grassroots people powered campaign is what puts her above the rest and why we know we will win together!

> Get involved learning the effective and fun tactic of having conversations with voters via text message. These messages are more than just filling the airwaves: we engage voters on issues they care about, get them involved in volunteer opportunities, and help them triple their vote and reach other voters they know too!"
258619,,APPROVED,False,1601664619.0,,"Thank you for joining the welcome meeting to learn more about the WFP4theMany volunteer community, our teams, tactics, and plans!

This is a zoom call, so please join in with your computer and camera if possible! Phone is fine too, but we love to see your faces!

Details: 

Join the Zoom Meeting at this link
https://zoom.us/j/420535775

Meeting ID: 420 535 775

One tap mobile
+16468769923,,420535775# US (New York)
+16699006833,,420535775# US (San Jose)

Dial by your location
        +1 646 876 9923 US (New York)
        +1 669 900 6833 US (San Jose)
Meeting ID: 420 535 775
Find your local number: https://zoom.us/u/aeryDHsSj8",America/New_York,,https://mobilizeamerica.imgix.net/uploads/event/IMG_8379_20200305183032961413.jpg,https://www.mobilize.us/workingfamilies/event/258619/,,WFP4theMany Welcome Meeting,COMMUNITY,WFP Welcome Gathering! #ThanksWarren,PUBLIC,,1583433153.0,,PUBLIC,,True,"Here at the Working Families Party, we were proud to endorse Elizabeth Warren for her historic campaign for president. She ran an incredible campaign focused on rooting out corruption, fighting for a government and an economy that works for all of us, and that was accountable to all of our communities.

But while Elizabeth’s campaign has ended, she understood the fight for big, structural change requires us to elect progressives up and down the ballot. Please join us for an organizing call where we will hold space to share what Elizabeth’s campaign meant to all of us, and discuss upcoming races where you can plug in and keep fighting. 

While Elizabeth didn’t make it to the White House, she knows we need to elect movement progressives at every level of government That’s why even while running for president, Elizabeth took the time to endorse progressives running for city, state, and federal office -- including Kendra Brooks, a Philly City Council Member who was elected on the Working Families Party ballot line. 

Kendra ran an insurgent campaign focused on restorative justice, affordable housing, and ending homelessness, and is already making huge strides in her fight for working families on the council since her historic, upset election. 

**The Working Families Party is focused on recruiting, training, and electing progressive candidates like Kendra Brooks up-and-down the ballot and across the country. And your continued commitment to the fight is sorely needed now, more than ever.** 

**So please join our organizing call, Saturday, March 7th at 8:30pm ET/5:30pm PT, and keep this movement going.**"
259552,,APPROVED,False,1601662867.0,,,America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/texting%20with%20toddlers_20200306224106199095.jpg,https://www.mobilize.us/workingfamilies/event/259552/,,Texting with Toddlers!,TEXT_BANK,,PUBLIC,,1583534520.0,ACCESSIBLE,PUBLIC,,False,"PLEASE NOTE: THIS IS A VIRTUAL EVENT NOW!

Join Progressive Moms of Wisconsin and Working Families for this kid-friendly way to make a difference for all kids in Milwaukee!

On April 7th, city of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve. Help us spread the word to vote YES for this important referendum. 

We'll start with a short info session and Q&A so you can learn more about the details of the MPS referendum. If you've never texted before, we'll get you all set up and trained - bring a laptop or tablet. We’ll have kid-friendly snacks, coffee and tea for parents and activities to help keep your kids happy!"
261673,,APPROVED,False,1601662524.0,,"Thanks for signing up to text with us! All you need to bring is your laptop or tablet, we'll provide the rest!

We will gather from 5:30-7:30pm at our Milwaukee Headquarters to text Milwaukee voters, making sure they head to the polls on April 7th with the information they need.

Questions? Contact Aaron Shapiro at ashapiro@workingfamilies.org or Priscilla Bort at pbort@workingfamilies.org.",America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222625640630.jpeg,https://www.mobilize.us/workingfamilies/event/261673/,,Texting MONDAY: March 16th!,TEXT_BANK,Texting Monday is here!,PUBLIC,,1583867707.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot.  City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself this MONDAY from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
261675,,APPROVED,False,1601664597.0,,,America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222534935193.jpeg,https://www.mobilize.us/workingfamilies/event/261675/,,Texting Tuesday: March 17th !,TEXT_BANK,Texting Tuesdays are back!,PUBLIC,,1583867854.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot. City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself every Tuesday from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
262832,,APPROVED,False,1601664619.0,,"## Thank you for registering! Here are your next steps:

1. Sign up for the WFP Text Team Slack [here](https://www.wfp4themany.org/get-started) (this is how we communicate with the thousands of texting volunteers nationwide like you!)
2.  Create your account in [Spoke](https://spoke.workingfamilies.org/10536106-5da3-439b-894a-83e3bd60a1de/join), our peer-to-peer texting app!
3.  Get oriented and prepared to text by taking our 5 minute training [here](https://www.wfp4themany.org/texter-start) and request your first assignment in the team Slack channel

**Have questions about any of this? No worries!** Just complete step 1 above and you'll also have a guide there to help you along. We have a whole helpdesk ready to answer your questions as you get started and moderators that answer your voter contact questions along the way!",America/New_York,https://www.wfp4themany.org/text,https://mobilizeamerica.imgix.net/uploads/event/0dc414bf_20200229132841250043.jpg,https://www.mobilize.us/workingfamilies/event/262832/,,Text Out the Vote for Morgan Harper with the Working Families Party,TEXT_BANK,Share information about Morgan's values and vision and motivate voters in OH3 by texting with us from wherever you are!,PUBLIC,,1584188732.0,,PUBLIC,,True,"### The Working Families Party in Columbus Ohio has endorsed Morgan Harper for Congress!

> “She’s representing the same wave of leadership we saw take the House in 2018 and do it unapologetically,” said Nelini Stamp, national strategy director for the Working Families Party. “She’s representing the next generation of people that are the wave of leadership that brought you the Squad, the next generation of youth leaders that are being unapologetic about the issues.”

[read more about this endorsement here](https://prospect.org/politics/progressive-challenger-in-ohio-earns-working-families-party-endorsement/)

Morgan spent the first nine months of her life in a foster home until she was adopted by a public school teacher and raised on the east side of Columbus, Ohio. She received financial aid to attend a college prep school, which opened her eyes to the economic segregation at play in central Ohio. She went on to earn a B.A. from Tufts University, an M.P.A from Princeton University, and a J.D. from Stanford University. After which, Morgan served as a Senior Adviser to the first Director of the Consumer Financial Protection Bureau and most recently, she served as a VP at the Local Initiatives Support Corporation, the nation's largest community development organization. Morgan is currently running to represent Ohio's 3rd district in US Congress and is a strong believer in policies that support financial stability, racial justice, stable housing, and a clean environment. 

If you're ready to help bring change to Congress and OH-3, then join in the effort to text voters, learn more about what issues matter to them and their families, and make sure we get out the word about progressive champion, Morgan Harper!"
262834,,APPROVED,False,1601662534.0,,"## Thank you for registering! Here are your next steps:

1. Sign up for the WFP Text Team Slack [here](https://www.wfp4themany.org/get-started) (this is how we communicate with the thousands of texting volunteers nationwide like you!)
2.  Create your account in [Spoke](https://spoke.workingfamilies.org/10536106-5da3-439b-894a-83e3bd60a1de/join), our peer-to-peer texting app!
3.  Get oriented and prepared to text by taking our 5 minute training [here](https://www.wfp4themany.org/texter-start) and request your first assignment in the team Slack channel

**Have questions about any of this? No worries!** Just complete step 1 above and you'll also have a guide there to help you along. We have a whole helpdesk ready to answer your questions as you get started and moderators that answer your voter contact questions along the way!",America/New_York,https://www.wfp4themany.org/text,https://mobilizeamerica.imgix.net/uploads/event/KF_WF%20Graphic_20200314124131164955.png,https://www.mobilize.us/workingfamilies/event/262834/,,Text Out the Vote: Kim Foxx for Cook County IL State's Attorney,TEXT_BANK,"Re-Elect the SA in Cook County, Kim Foxx! Endorsed by Sen. Bernie Sanders, Sen. Elizabeth Warren, and the Working Families Party!",PUBLIC,,1584189886.0,,PUBLIC,,True,"### Help Get Out the Vote in Chicago and Cook County Suburbs!

> “The 5.2 million residents of Cook County deserve a better system, one that is driven not by a “win at any cost” mentality, but by a persistent quest for justice, in whatever form that takes in a particular case. This quest for justice is how we will earn the community’s trust and build bridges to improve public safety. And while it will take long, hard work, I believe that a reformed criminal justice system that is more responsive to the people and more responsible in the pursuit of justice is a win-win for us all.”
— Kim Foxx

Help us reach thousands of Cook County voters in this critical GOTV weekend. Covid19 is prompting closings of more than 40 polling sites in the county, so our reminders of opportunities to vote early and where to vote is **so so important now!**

Please sign up and follow the next steps in your email, including training, to get started right away!"
263612,,APPROVED,False,1601662527.0,,,America/New_York,,https://mobilizeamerica.imgix.net/uploads/event/animated_20200319005231407916.GIF,https://www.mobilize.us/workingfamilies/event/263612/,,WFP Welcome Gathering!!!,MEETING,Welcome to the Party!!!,PUBLIC,,1584567722.0,,PUBLIC,,True,"The Working Families Party (WFP) is a grassroots political party building a multiracial movement of working people to transform America for the liberation of people and the planet.

Whether you’re a new supporter or a longtime member, welcome gatherings are an energetic space where you can meet other working people with the same vision of building a world where we can thrive, and not just survive. We’ll share our desires and vision for a political party that truly is for us and by us. We’ll get concrete about how we are building the power we need to have an impact in this political moment. You can get your questions about the party answered here. And we can help you sort out a meaningful next step with the party.

All are welcome."
